ELS48-3697;ELS48-3697_T;103.0000
ELS28-3981;ELS28-3981_T;128.7500
ELS87-1971;ELS87-1971_T;33.0000
0986435269;0986435269_T;44.4400
24.3541-1743.5;24.3541-1743.5_T;16.5000
RMD04020022;RMD04020022_T;200.0000
2133134;2133134_T;28.7500
ELS25-2208;ELS25-2208_T;77.2500
ELS25-3351;ELS25-3351_T;77.2500
0986473261;0986473261_T;40.0000
ELS28-4614;ELS28-4614_T;46.3500
002-001-000001R;002-001-000001R_T;284.2800
ELS51-0072;ELS51-0072_T;41.2000
BHS913E;BHS913E_T;5.1500
RMD02030073;RMD02030073_T;200.0000
0986134122;098613412290;42.9100
213422;213422_T;28.7500
ELS28-0859;ELS28-0859_T;10.3000
0986435093;0986435093_T;44.4400
ELS82-0200;ELS82-0200_T;24.2000
STA0651R;STA0651R_T;8.3200
24.3481-1733.5;24.3481-1733.5_T;16.5000
24.3304-1715.5;24.3304-1715.5_T;49.5000
ELS15-0945;ELS15-0945_T;77.2500
ELS48-4951;ELS48-4951_T;103.0000
ELS86-0005;ELS86-0005_T;24.2000
ELS25-2493;ELS25-2493_T;30.9000
ELS83-0112;ELS83-0112_T;24.2000
002-003-001174R;002-003-001174R_T;62.8300
ELS83-2702;ELS83-2702_T;38.5000
ELS11-0677;ELS11-0677_T;206.0000
TG7538472;CG7538472;85.5000
0986134521;098613452190;42.9100
0986474038;098647403890;13.8200
KS01000608;KS01000608_T;66.6700
KS01000850;KS01000850_T;355.5600
2147118;2147118_T;28.7500
BHS1623E;BHS1623E_T;30.9000
BHS331E;BHS331E_T;5.1500
24.6243-1726.5;24.6243-1726.5_T;38.5000
ELS51-0176;ELS51-0176_T;51.5000
ELS51-0929;ELS51-0929_T;41.2000
0986029120;0986029120_T;22.2200
0986135217;0986135217_T;40.0000
002-002-000451R;002-002-000451R_T;122.5700
ELS82-1345;ELS82-1345_T;33.0000
0986437303;0986437303_T;177.7800
0986444076;0986444076_T;266.6700
PA4917701505;PA4917701505_T;46.3500
ELS82-1938;ELS82-1938_T;24.2000
ELS82-2016;ELS82-2016_T;24.2000
0986135170;0986135170_T;24.9700
211966;211966_T;28.7500
STA0118R;STA0118R_T;8.3200
ELS15-1342;ELS15-1342_T;51.5000
0986044651;0986044651_T;88.8900
0986441012;0986441012_T;88.8900
002-003-001658R;002-003-001658R_T;73.1300
BHN378E;BHN378E_T;5.1500
002-003-001844R;002-003-001844R_T;66.9500
003-001-001361R;003-001-001361R_T;108.1500
TK54359700008;CK54359700008;34.2000
ELS25-1489;ELS25-1489_T;77.2500
ELS25-4292;ELS25-4292_T;41.2000
ELS87-2790;ELS87-2790_T;27.5000
24.3384-1605.5;24.3384-1605.5_T;49.5000
KS01000772;KS01000772_T;155.5600
0986435248;0986435248_T;44.4400
ELS82-2162;ELS82-2162_T;24.2000
ELS87-0363;ELS87-0363_T;33.0000
ELS14-1844;ELS14-1844_T;51.5000
003-002-000002R;003-002-000002R_T;126.6900
0986040880;0986040880_T;22.2200
ELS28-6811;ELS28-6811_T;77.2500
ELS28-0854;ELS28-0854_T;10.3000
ELS51-0400;ELS51-0400_T;51.5000
ELS51-0002;ELS51-0002_T;30.9000
A2C59511364;A2C59511364_T;45.7800
VAL455894;VAL455894_T;41.6200
ELS51-0278;ELS51-0278_T;51.5000
ELS86-2726LM;ELS86-2726LM_T;33.0000
ELS11-0820;03-00815-C;114.0000
0700 600 075;0700 600 075_T;198.0000
KS01003985;KS01003985_T;355.5600
0986021360;0986021360_T;88.8900
ELS83-1522;ELS83-1522_T;38.5000
002-010-001391R;002-010-001391R_T;103.0000
VAL436537;VAL436537_T;41.6200
0986083940;0986083940_T;44.4400
2130171;2130171_T;28.7500
KS01001738;KS01001738_T;66.6700
0986080390;0986080390_T;44.4400
0986082710;0986082710_T;44.4400
BHU121E;BHU121E_T;5.1500
KS01000223;KS01000223_T;97.7800
ELS73-0133;ELS73-0133_T;25.7500
0986081940;0986081940_T;88.8900
ELS28-6838;ELS28-6838_T;77.2500
PA54389700002;PA54389700002_T;81.3700
BHN332E;BHN332E_T;5.1500
BHW229E;BHW229E_T;30.9000
ELS83-0307;ELS83-0307_T;33.0000
ELS28-3648;ELS28-3648_T;103.0000
214710;214710_T;28.7500
0986033160;0986033160_T;22.2200
MGR-167R;MGR-167R_T;9.5400
0986016890;0986016890_T;44.4400
RMD02010043;RMD02010043_T;100.0000
003-001-000064R;003-001-000064R_T;108.1500
ELS14-0532;03-00428-C;57.0000
0986474128;098647412890;41.4500
2115218;2115218_T;28.7500
003-002-000020R;003-002-000020R_T;93.0000
0986011150;0986011150_T;44.4400
